short_window,long_window,ml_weight,max_depth,min_samples_split,n_estimators,sharpe_ratio,total_return,max_drawdown,train_accuracy,val_accuracy,test_accuracy,importance_OBV,importance_MA_Ratio_50,importance_Volatility,importance_BB_Width,importance_ADX,importance_MACD,importance_MA_Ratio_20,importance_Force_Index,importance_RSI,importance_BB_Position
5,20,0.3,None,2,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.022067652814318137,0.06323084515530766,0.018587309944887793,0.016210650964341468,0.02473012078952082,0.0594658904120831,0.23399023379736775,0.06028283602052814,0.32173860332480264,0.17969585677684252
5,20,0.3,None,5,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.023928971539473355,0.06852070893391089,0.015820707670129507,0.01669901890600188,0.028688891499161772,0.0620845533860799,0.26385972381537104,0.09599726914276405,0.2839477131662399,0.14045244194086778
5,20,0.3,None,5,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8988095238095238,0.8870523415977961,0.023272496734503535,0.06878035539000077,0.017936421536750343,0.017676629251146894,0.026326264019498523,0.057429911857760266,0.2615045072844083,0.08490315678028024,0.25545774872622784,0.18671250841942322
5,20,0.3,None,5,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.022067652814318137,0.06323084515530766,0.018587309944887793,0.016210650964341468,0.02473012078952082,0.0594658904120831,0.23399023379736775,0.06028283602052814,0.32173860332480264,0.17969585677684252
5,20,0.3,None,10,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9556213017751479,0.8988095238095238,0.8870523415977961,0.022473716168976827,0.06668681388557815,0.01673327623786995,0.014198226503245925,0.034792249119664775,0.06786351253855699,0.2577412206890426,0.09913530594197549,0.2819028408915,0.13847283802358945
5,20,0.3,None,10,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8928571428571429,0.8898071625344353,0.021515484409160863,0.06445358301370924,0.017268531251885468,0.015915024717794782,0.02802260208439893,0.060632254485119004,0.26132050883037633,0.08547185144211021,0.25676843740784233,0.18863172235760278
5,20,0.3,None,10,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8928571428571429,0.8898071625344353,0.02058899459273023,0.06268638919586016,0.01794814329363593,0.015514152997931114,0.025449476081862793,0.061603473045943116,0.23071522196019972,0.059305065731622746,0.3203865212422231,0.18580256185799113
5,20,0.4,3,2,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9068047337278107,0.8630952380952381,0.8732782369146006,0.008607596991383894,0.06570378658938193,0.002101612040544024,0.006875613895084536,0.017372935121710342,0.04424711270142636,0.29398819642136137,0.10000423285619879,0.2977373045621665,0.16336160882074222
5,20,0.4,3,2,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.900887573964497,0.8690476190476191,0.8898071625344353,0.007672351293807774,0.05943771681861085,0.002537369517818706,0.00690290867588723,0.012668113068055669,0.04367807931364684,0.303407552780767,0.08535156732694758,0.2655187884459837,0.21282555275847473
5,20,0.4,3,2,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.908284023668639,0.8690476190476191,0.8815426997245179,0.006805455290196892,0.05895324789118103,0.0032302488748807132,0.005202189765499216,0.01104741896604373,0.048741927057033466,0.2660822443207731,0.05518844084648142,0.3388553467682403,0.20589348021967013
5,20,0.4,3,5,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9068047337278107,0.8630952380952381,0.8732782369146006,0.008607596991383894,0.06570378658938193,0.002101612040544024,0.006875613895084536,0.017372935121710342,0.04424711270142636,0.29398819642136137,0.10000423285619879,0.2977373045621665,0.16336160882074222
5,20,0.4,3,5,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.900887573964497,0.8690476190476191,0.8898071625344353,0.007672351293807774,0.05943771681861085,0.002537369517818706,0.00690290867588723,0.012668113068055669,0.04367807931364684,0.303407552780767,0.08535156732694758,0.2655187884459837,0.21282555275847473
5,20,0.4,3,5,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.908284023668639,0.8690476190476191,0.8815426997245179,0.006805455290196892,0.05895324789118103,0.0032302488748807132,0.005202189765499216,0.01104741896604373,0.048741927057033466,0.2660822443207731,0.05518844084648142,0.3388553467682403,0.20589348021967013
5,20,0.4,3,10,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9068047337278107,0.8690476190476191,0.8732782369146006,0.008548471659628583,0.064510840591507,0.002101612040544024,0.006603523777992057,0.01879725184994001,0.04424711270142636,0.29490131476002335,0.1000194588498705,0.29531915537248277,0.16495125839658534
5,20,0.4,3,10,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9038461538461539,0.8690476190476191,0.8815426997245179,0.007570318729882709,0.058845490287874315,0.0024188339469304486,0.006914480155279369,0.013303618106281603,0.04366735092983326,0.30337112147210615,0.08564672888154146,0.2644919373718075,0.21377012011846314
5,20,0.4,3,10,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.908284023668639,0.8690476190476191,0.8815426997245179,0.006752530322813779,0.05874243845828891,0.003066091135007715,0.005404451523565421,0.011311030243710775,0.04880471080609927,0.2648020958800907,0.05532138516702027,0.33776287737017674,0.20803238909322644
5,20,0.4,5,2,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9467455621301775,0.8869047619047619,0.8898071625344353,0.01687248627300433,0.06466288606121351,0.012620113843887882,0.01632303168832736,0.025307200508901933,0.05641227924551131,0.2634067715596095,0.09831478903464469,0.30333686343130417,0.14274357835359522
5,20,0.4,5,2,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9423076923076923,0.8809523809523809,0.8925619834710744,0.01748730310172477,0.059258989702440805,0.012738794291280373,0.01593944143214755,0.020782333609694822,0.049732503120744294,0.27342837811653076,0.08662641726927639,0.2692938310989691,0.19471200825719112
5,20,0.4,5,2,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9452662721893491,0.8809523809523809,0.8870523415977961,0.015585279537793217,0.059367687621834295,0.01309386983129441,0.014129707684061755,0.01953834919202322,0.054193322554667946,0.23918326685288926,0.05918906479240552,0.33603881631176896,0.18968063562126136
5,20,0.4,5,5,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9467455621301775,0.8869047619047619,0.8898071625344353,0.01687248627300433,0.06466288606121351,0.012620113843887882,0.01632303168832736,0.025307200508901933,0.05641227924551131,0.2634067715596095,0.09831478903464469,0.30333686343130417,0.14274357835359522
5,20,0.4,5,5,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9423076923076923,0.8809523809523809,0.8925619834710744,0.01748730310172477,0.059258989702440805,0.012738794291280373,0.01593944143214755,0.020782333609694822,0.049732503120744294,0.27342837811653076,0.08662641726927639,0.2692938310989691,0.19471200825719112
5,20,0.4,5,5,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9452662721893491,0.8809523809523809,0.8870523415977961,0.015585279537793217,0.059367687621834295,0.01309386983129441,0.014129707684061755,0.01953834919202322,0.054193322554667946,0.23918326685288926,0.05918906479240552,0.33603881631176896,0.18968063562126136
5,20,0.4,5,10,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9497041420118343,0.8809523809523809,0.8815426997245179,0.016954939882582076,0.07315845769144409,0.009841906583612354,0.012907052294465654,0.026258846051038075,0.06084801505203531,0.2597651652683123,0.09480986170513576,0.30346603400599426,0.14198972146538022
5,20,0.4,5,10,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9437869822485208,0.8869047619047619,0.8870523415977961,0.01723059264227001,0.06343731656067371,0.011826934861080182,0.014251912669296518,0.021034101478350692,0.053193262118953345,0.2713587539712908,0.08589760581031025,0.26682526667711604,0.1949442532106586
5,20,0.4,5,10,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9452662721893491,0.8809523809523809,0.8870523415977961,0.015140023460668488,0.06255101161935153,0.011761004972369296,0.013437033871258528,0.019755158478944483,0.056676209205651557,0.23746053568838424,0.057438619467163124,0.3357691874086685,0.19001121582754008
5,20,0.4,8,2,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9585798816568047,0.8988095238095238,0.8925619834710744,0.023981954835566723,0.07120611054465574,0.01556421024058417,0.016454241539002826,0.029259662747975618,0.0612717369681863,0.26199190373223386,0.09387994745748159,0.2871046967821925,0.13928553515212067
5,20,0.4,8,2,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8988095238095238,0.8898071625344353,0.022858645982637562,0.06863784563372964,0.01792439423593536,0.01739422114397309,0.02635559198433696,0.05750653472243797,0.26127194935072606,0.08358398149639731,0.2576912645902864,0.18677557085953955
